id,cidr,createdAt,createdBy,description,envTypeConfigId,envTypeId,error,indexId,inWorkflow,name,projectId,provisionedProductId,rev,status,studyIds,updatedAt,updatedBy,Stack name
1b4a81ac-ffa2-42f9-8cac-5520e43f428b,71.245.224.137/32,2023-01-18T22:23:16.490Z,u-74cq57xq1gBAHm-UxlT8M,test,windows_large,prod-iegickme3ylny-pa-se3hdrs72kilo,"""Error provisioning environment simran-test-windows-large. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-qbyzwebrwz6cm, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : We currently do not have sufficient p2.xlarge capacity in the Availability Zone you requested (us-east-1a). Our system will be working on provisioning additional capacity. You can currently get p2.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1b, us-east-1c, us-east-1d, us-east-1e. (Service: AmazonEC2; Status Code: 500; Error Code: InsufficientInstanceCapacity; Request ID: 7d1f5102-3f28-4df3-86a6-128117937773; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-qbyzwebrwz6cm, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,simran-test-windows-large,aim-ahead-swb-prod,pp-qbyzwebrwz6cm,1,FAILED,[],2023-01-18T22:46:48.554Z,u-74cq57xq1gBAHm-UxlT8M,SC-985832498708-pp-qbyzwebrwz6cm
c6048388-2470-4e1f-86e5-49b95299536a,134.174.21.27/32,2023-02-07T19:24:23.675Z,u-D7q2qWjjQ5e6Eshy_x6rd,The description of this workspace,windows_large,prod-iegickme3ylny-pa-se3hdrs72kilo,"""Error provisioning environment frank. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-j66iwvsfsi4fm, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Received FAILURE signal with UniqueId i-0a51976b1a8bbe72b}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-j66iwvsfsi4fm, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,frank,aim-ahead-swb-prod,pp-j66iwvsfsi4fm,1,FAILED,"[{""S"":""synthea-omop""},{""S"":""cmsdesynpuf-omop""},{""S"":""camelyon""},{""S"":""allen-sea-ad-atlas""},{""S"":""giab""}]",2023-02-07T19:43:50.257Z,u-D7q2qWjjQ5e6Eshy_x6rd,SC-985832498708-pp-j66iwvsfsi4fm
fa8b73f3-7b84-4cc5-963b-8b04f4b4d2db,71.245.224.137/32,2023-01-06T17:48:34.487Z,u-74cq57xq1gBAHm-UxlT8M,test,sagemaker_small,prod-3lkuc54m5z466-pa-h2nwpgikbu6fe,"""Error provisioning environment simran-test-sagemaker-small. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-ciiac7tortayg, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [BasicNotebookInstance]. Rollback requested by user.}, {LogicalResourceId : BasicNotebookInstance, ResourceType : AWS::SageMaker::NotebookInstance, StatusReason : User: arn:aws:sts::985832498708:assumed-role/prod-va-swb-LaunchConstraint/servicecatalog is not authorized to perform: sagemaker:AddTags on resource: arn:aws:sagemaker:us-east-1:985832498708:notebook-instance/basicnotebookinstance-ivlfdlqaogva because no identity-based policy allows the sagemaker:AddTags action (Service: AmazonSageMaker; Status Code: 400; Error Code: AccessDeniedException; Request ID: 6e030b6e-bfdd-47b1-a1a8-8cb10a57fe10; Proxy: null)}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : BasicNotebookInstanceLifecycleConfig, ResourceType : AWS::SageMaker::NotebookInstanceLifecycleConfig, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-ciiac7tortayg, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,simran-test-sagemaker-small,aim-ahead-swb-prod,pp-ciiac7tortayg,1,FAILED,[],2023-01-06T17:52:23.059Z,u-74cq57xq1gBAHm-UxlT8M,SC-985832498708-pp-ciiac7tortayg
d7e0dfa8-80f0-4c55-bbcd-6c4b5b57dded,71.245.224.137/32,2023-02-10T15:17:37.040Z,u-74cq57xq1gBAHm-UxlT8M,test,linux_large,prod-5g4g4cuiryx3o-pa-p243jgagteckk,"""Error provisioning environment simran-test-linux-large-2. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-zmi45sobevazq, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : The instance configuration for this AWS Marketplace product is not supported. Please see the AWS Marketplace site for more information about supported instance types, regions, and operating systems. (Service: AmazonEC2; Status Code: 400; Error Code: UnsupportedOperation; Request ID: cbd49434-2761-4427-80c4-e6705ee9dae6; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-zmi45sobevazq, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,simran-test-linux-large-2,aim-ahead-swb-prod,pp-zmi45sobevazq,1,FAILED,[],2023-02-10T15:23:27.294Z,u-74cq57xq1gBAHm-UxlT8M,SC-985832498708-pp-zmi45sobevazq
786c8c4f-a9e8-4b0d-9fe2-9f74720bba83,71.245.224.137/32,2023-01-18T21:45:31.843Z,u-74cq57xq1gBAHm-UxlT8M,test,rstudio_large_2,prod-znclegrz3drvk-pa-2cxkvfxw67ofy,"""Error provisioning environment simran-test-rstudio-large2. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-5nukyc43n2ml4, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : The instance configuration for this AWS Marketplace product is not supported. Please see the AWS Marketplace site for more information about supported instance types, regions, and operating systems. (Service: AmazonEC2; Status Code: 400; Error Code: UnsupportedOperation; Request ID: cb981a61-2db9-488d-a278-036cac88fc1d; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-5nukyc43n2ml4, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,simran-test-rstudio-large2,aim-ahead-swb-prod,pp-5nukyc43n2ml4,1,FAILED,[],2023-01-18T21:51:21.314Z,u-74cq57xq1gBAHm-UxlT8M,SC-985832498708-pp-5nukyc43n2ml4
80bf65cf-b1a4-47a7-af8c-f3e267dbfe2b,134.174.140.198/32,2023-02-07T19:31:08.483Z,u-xWdYRwke6ZOEpqpFKkMyu,Test,windows_medium,prod-iegickme3ylny-pa-se3hdrs72kilo,"""Error provisioning environment WindowsM. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-enitybkucfao4, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Received FAILURE signal with UniqueId i-0e789547467907e18}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-enitybkucfao4, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,WindowsM,aim-ahead-swb-prod,pp-enitybkucfao4,1,FAILED,[],2023-02-07T19:44:04.431Z,u-xWdYRwke6ZOEpqpFKkMyu,SC-985832498708-pp-enitybkucfao4
805032fe-8f3d-4445-8720-dfc04a09ed40,52.55.5.223/32,2023-01-25T18:27:32.642Z,u-74cq57xq1gBAHm-UxlT8M,test,linux_large,prod-5g4g4cuiryx3o-pa-p243jgagteckk,"""Error provisioning environment simran-test-linux-large. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-2swo76izimreu, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : The instance configuration for this AWS Marketplace product is not supported. Please see the AWS Marketplace site for more information about supported instance types, regions, and operating systems. (Service: AmazonEC2; Status Code: 400; Error Code: UnsupportedOperation; Request ID: 78d39be1-9c13-452d-83a7-d1cefa15c4d2; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-2swo76izimreu, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,simran-test-linux-large,aim-ahead-swb-prod,pp-2swo76izimreu,1,FAILED,[],2023-01-25T18:33:20.094Z,u-74cq57xq1gBAHm-UxlT8M,SC-985832498708-pp-2swo76izimreu
7a42d4d5-69d3-489b-ae7b-a1ea8f568cfd,71.245.224.137/32,2023-02-10T15:16:49.424Z,u-74cq57xq1gBAHm-UxlT8M,test,rstudio_large_with_gpu,prod-znclegrz3drvk-pa-2cxkvfxw67ofy,"""Error provisioning environment simran-test-rstudio-large-2. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-k44xxiigg3sdg, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : The instance configuration for this AWS Marketplace product is not supported. Please see the AWS Marketplace site for more information about supported instance types, regions, and operating systems. (Service: AmazonEC2; Status Code: 400; Error Code: UnsupportedOperation; Request ID: 3de0c1a6-f600-464e-922e-272a6858c37c; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-k44xxiigg3sdg, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,simran-test-rstudio-large-2,aim-ahead-swb-prod,pp-k44xxiigg3sdg,1,FAILED,[],2023-02-10T15:23:14.726Z,u-74cq57xq1gBAHm-UxlT8M,SC-985832498708-pp-k44xxiigg3sdg
f064472c-fcfc-4308-92c3-6839bb7b7b0b,52.55.5.223/32,2023-01-25T18:25:44.431Z,u-74cq57xq1gBAHm-UxlT8M,test,rstudio_large_with_gpu,prod-znclegrz3drvk-pa-2cxkvfxw67ofy,"""Error provisioning environment simran-test-rstudio-large5. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-uo65tfey34j5w, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : The instance configuration for this AWS Marketplace product is not supported. Please see the AWS Marketplace site for more information about supported instance types, regions, and operating systems. (Service: AmazonEC2; Status Code: 400; Error Code: UnsupportedOperation; Request ID: 5fc12d9f-80b5-429a-9170-abb7a65cf8dd; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-uo65tfey34j5w, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,simran-test-rstudio-large5,aim-ahead-swb-prod,pp-uo65tfey34j5w,1,FAILED,[],2023-01-25T18:32:11.162Z,u-74cq57xq1gBAHm-UxlT8M,SC-985832498708-pp-uo65tfey34j5w
d3f0a6a1-92dc-4064-a97d-9e452086ddce,71.245.224.137/32,2023-01-18T21:31:31.182Z,u-74cq57xq1gBAHm-UxlT8M,test,rstudio-test,prod-znclegrz3drvk-pa-2cxkvfxw67ofy,"""Error provisioning environment simran-test-rstudio-small. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-efnvmvoiir3me, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : The architecture 'arm64' of the specified instance type does not match the architecture 'x86_64' of the specified AMI. Specify an instance type and an AMI that have matching architectures, and try again. You can use 'describe-instance-types' or 'describe-images' to discover the architecture of the instance type or AMI. (Service: AmazonEC2; Status Code: 400; Error Code: InvalidParameterValue; Request ID: b5c14344-0aad-42ab-98e1-ef7754f796c3; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-efnvmvoiir3me, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""",0,TRUE,simran-test-rstudio-small,aim-ahead-swb-prod,pp-efnvmvoiir3me,1,FAILED,[],2023-01-18T21:37:23.217Z,u-74cq57xq1gBAHm-UxlT8M,SC-985832498708-pp-efnvmvoiir3me
