"id","cidr","createdAt","createdBy","description","envTypeConfigId","envTypeId","hasConnections","indexId","instanceType","inWorkflow","loadBalancerId","name","outputs","projectId","provisionedProductId","rev","status","studyIds","studyRoles","terminationLocked","updatedAt","updatedBy"
"d2320d11-81ab-42f3-83d0-353fe73ea6c9","134.238.190.201/32","2024-02-26T23:06:14.704Z","u-vF8U-7O45K7q0DcV6CS2p","""Test ""","rstudio-small","prod-7rixzx2sygszm-pa-35hi6h7mizws4","","research","t3.medium","false","9617c535-0940-47cf-9742-fb735b37189c","test-workspace","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-ewxhflqpkdkym/f2072b60-d4fb-11ee-8593-129a67850695""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1708988903667-ec2-role""},""Description"":{""S"":""IAM role assumed by the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceInstanceId""},""OutputValue"":{""S"":""i-081a76dc14db6bf6a""},""Description"":{""S"":""Instance Id for the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Scheme""},""OutputValue"":{""S"":""https""},""Description"":{""S"":""Protocol for connection 1""}}},{""M"":{""OutputKey"":{""S"":""InstanceSecurityGroupId""},""OutputValue"":{""S"":""sg-0f21214d5fa502352""},""Description"":{""S"":""EC2 Instance Security Group Id""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceDnsName""},""Description"":{""S"":""Public DNS name of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Name""},""OutputValue"":{""S"":""RStudio Notebook""},""Description"":{""S"":""Name for this connection""}}},{""M"":{""OutputKey"":{""S"":""MaxCountALBDependentWorkspaces""},""OutputValue"":{""S"":""100""},""Description"":{""S"":""Maximum number of ALB dependent Workspaces""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspacePrivateIp""},""OutputValue"":{""S"":""10.128.10.117""},""Description"":{""S"":""Private IP address of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1InstanceId""},""OutputValue"":{""S"":""i-081a76dc14db6bf6a""},""Description"":{""S"":""EC2 Linux Instance Id""}}},{""M"":{""OutputKey"":{""S"":""TargetGroupARN""},""OutputValue"":{""S"":""arn:aws:elasticloadbalancing:us-east-1:985832498708:targetgroup/analysis-1708988903667/2cdc7b6e28ff3c11""}}},{""M"":{""OutputKey"":{""S"":""NeedsALB""},""OutputValue"":{""S"":""true""},""Description"":{""S"":""Flag to specify environment requires ALB""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Type""},""OutputValue"":{""S"":""RStudioV2""},""Description"":{""S"":""Type of environment this connection is for""}}},{""M"":{""OutputKey"":{""S"":""ListenerRuleARN""},""OutputValue"":{""S"":""arn:aws:elasticloadbalancing:us-east-1:985832498708:listener-rule/app/analysis-1697738075242/e4549b32669cf866/93bd1d12165ffa38/a50a9bf7d990700a""},""Description"":{""S"":""ARN of the listener rule created by code""}}}]","Consortium-Development-Project","pp-ewxhflqpkdkym","3","STOPPING_FAILED","[{""S"":""cdp-cardiometabolic-disparities-shared""}]","{""cdp-cardiometabolic-disparities-shared"":{""S"":""arn:aws:iam::985832498708:role/swb-Ara2fqbEjt9GaJlwkjrASU-fs-1708965541846""}}","","2024-12-09T19:51:01.115Z","u-74cq57xq1gBAHm-UxlT8M"
"2615a37a-9bfa-429e-8ecd-bd29afda4c5d","108.174.83.107/32","2024-03-29T02:36:05.482Z","u-WJHcJjyCLrrPbuCCyOEtw","A2DFU","windows-small","prod-wksgqqvm6wm5g-pa-bzz3ktzzlpmeg","","research","t3.medium","false","","DFUwindows","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-6ot2oscboraiy/65cacc50-ed75-11ee-84d5-128275fafcf1""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1711679894763-ec2-role""},""Description"":{""S"":""IAM role assumed by the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceDnsName""},""OutputValue"":{""S"":""ec2-3-84-156-187.compute-1.amazonaws.com""},""Description"":{""S"":""Public DNS name of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceInstanceId""},""OutputValue"":{""S"":""i-08beff93be8e01a0d""},""Description"":{""S"":""Instance Id for the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Scheme""},""OutputValue"":{""S"":""rdp""},""Description"":{""S"":""Protocol for connection""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Name""},""OutputValue"":{""S"":""RDP to EC2 Windows Instance""},""Description"":{""S"":""Name of the connection""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspacePublicIp""},""OutputValue"":{""S"":""3.84.156.187""},""Description"":{""S"":""Public IP address of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1InstanceId""},""OutputValue"":{""S"":""i-08beff93be8e01a0d""},""Description"":{""S"":""EC2 Windows Instance Id""}}}]","Research-Fellowship","pp-6ot2oscboraiy","2","STOPPING_FAILED","[]","","","2024-06-07T01:52:56.283Z","u-WJHcJjyCLrrPbuCCyOEtw"
"20f2ee74-7ea3-4c74-81b8-b91055ac3a55","67.189.232.181/32","2024-10-01T21:29:41.799Z","u-hcDegB8XKnmTEm5p1AREb","stigvars","rstudio-large","prod-7rixzx2sygszm-pa-35hi6h7mizws4","","0","g4ad.4xlarge","false","9617c535-0940-47cf-9742-fb735b37189c","stig-vars","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-wfd5p3pl2empi/93f9f600-803c-11ef-836c-0e4c44067d59""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspacePrivateIp""},""OutputValue"":{""S"":""10.128.10.206""},""Description"":{""S"":""Private IP address of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceInstanceId""},""OutputValue"":{""S"":""i-066b00baec1e5362a""},""Description"":{""S"":""Instance Id for the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1727818311577-ec2-role""},""Description"":{""S"":""IAM role assumed by the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1InstanceId""},""OutputValue"":{""S"":""i-066b00baec1e5362a""},""Description"":{""S"":""EC2 Linux Instance Id""}}},{""M"":{""OutputKey"":{""S"":""InstanceSecurityGroupId""},""OutputValue"":{""S"":""sg-0469386b67db7b592""},""Description"":{""S"":""EC2 Instance Security Group Id""}}},{""M"":{""OutputKey"":{""S"":""TargetGroupARN""},""OutputValue"":{""S"":""arn:aws:elasticloadbalancing:us-east-1:985832498708:targetgroup/analysis-1727818311577/6b0269aa8e01e40a""}}},{""M"":{""OutputKey"":{""S"":""NeedsALB""},""OutputValue"":{""S"":""true""},""Description"":{""S"":""Flag to specify environment requires ALB""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Type""},""OutputValue"":{""S"":""RStudioV2""},""Description"":{""S"":""Type of environment this connection is for""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceDnsName""},""OutputValue"":{""NULL"":true},""Description"":{""S"":""Public DNS name of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Name""},""OutputValue"":{""S"":""RStudio Notebook""},""Description"":{""S"":""Name for this connection""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Scheme""},""OutputValue"":{""S"":""https""},""Description"":{""S"":""Protocol for connection 1""}}},{""M"":{""OutputKey"":{""S"":""MaxCountALBDependentWorkspaces""},""OutputValue"":{""S"":""100""},""Description"":{""S"":""Maximum number of ALB dependent Workspaces""}}},{""M"":{""OutputKey"":{""S"":""ListenerRuleARN""},""OutputValue"":{""S"":""arn:aws:elasticloadbalancing:us-east-1:985832498708:listener-rule/app/analysis-1697738075242/e4549b32669cf866/93bd1d12165ffa38/d7ce72eeb01237b5""},""Description"":{""S"":""ARN of the listener rule created by code""}}}]","aim-ahead-swb-prod","pp-wfd5p3pl2empi","27","STOPPING_FAILED","[{""S"":""avl-73-bdc-etl""}]","{""avl-73-bdc-etl"":{""S"":""arn:aws:iam::736265540791:role/swb-sBBkWpaDyB8xcbAqjq7Cmw-fs-1714151777326""}}","","2025-01-24T17:47:33.685Z","u-hcDegB8XKnmTEm5p1AREb"
"354304dc-a25e-4939-af98-8536b4f69a91","24.55.2.226/32","2024-07-19T20:35:58.015Z","u-74cq57xq1gBAHm-UxlT8M","rest\n","test","prod-wksgqqvm6wm5g-pa-bzz3ktzzlpmeg","","0","t3.medium","false","","test","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-6v5x4iq2r2gcg/ceff2990-460e-11ef-bb1b-0ef6ac67eb37""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1721421486470-ec2-role""},""Description"":{""S"":""IAM role assumed by the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Name""},""OutputValue"":{""S"":""RDP to EC2 Windows Instance""},""Description"":{""S"":""Name of the connection""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Scheme""},""OutputValue"":{""S"":""rdp""},""Description"":{""S"":""Protocol for connection""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceInstanceId""},""OutputValue"":{""S"":""i-0648961560a76e752""},""Description"":{""S"":""Instance Id for the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1InstanceId""},""OutputValue"":{""S"":""i-0648961560a76e752""},""Description"":{""S"":""EC2 Windows Instance Id""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceDnsName""},""OutputValue"":{""S"":""ec2-23-20-4-176.compute-1.amazonaws.com""},""Description"":{""S"":""Public DNS name of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspacePublicIp""},""OutputValue"":{""S"":""23.20.4.176""},""Description"":{""S"":""Public IP address of the EC2 workspace instance""}}}]","aim-ahead-swb-prod","pp-6v5x4iq2r2gcg","2","STOPPING_FAILED","[]","","","2024-10-21T21:12:59.524Z","u-74cq57xq1gBAHm-UxlT8M"
"94850fea-0f5c-4e88-acb9-f013c4ee2086","128.146.83.107/32","2024-06-12T15:09:56.364Z","u-HSljEO66gRW17AzJnrGvn","""This study aims to apply AI/ML algorithms to predict T2DM using SDOH ""","windows-small","prod-wksgqqvm6wm5g-pa-bzz3ktzzlpmeg","","research","t3.medium","false","","Abegaz-OCHIN","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-a4yyi5eu3x56s/23270af0-28ce-11ef-8574-12a471e35253""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceDnsName""},""OutputValue"":{""S"":""ec2-54-83-158-203.compute-1.amazonaws.com""},""Description"":{""S"":""Public DNS name of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1InstanceId""},""OutputValue"":{""S"":""i-01610d707db30b78b""},""Description"":{""S"":""EC2 Windows Instance Id""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1718205126725-ec2-role""},""Description"":{""S"":""IAM role assumed by the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Scheme""},""OutputValue"":{""S"":""rdp""},""Description"":{""S"":""Protocol for connection""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceInstanceId""},""OutputValue"":{""S"":""i-01610d707db30b78b""},""Description"":{""S"":""Instance Id for the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspacePublicIp""},""OutputValue"":{""S"":""54.83.158.203""},""Description"":{""S"":""Public IP address of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Name""},""OutputValue"":{""S"":""RDP to EC2 Windows Instance""},""Description"":{""S"":""Name of the connection""}}}]","Consortium-Development-Project","pp-a4yyi5eu3x56s","6","STOPPING_FAILED","[{""S"":""cdp-tadesse-abegaz""}]","{""cdp-tadesse-abegaz"":{""S"":""arn:aws:iam::985832498708:role/swb-Ara2fqbEjt9GaJlwkjrASU-fs-1718204997460""}}","","2024-12-09T19:50:52.313Z","u-74cq57xq1gBAHm-UxlT8M"
"87258c5f-bcaa-4d21-bdf4-9bb2024a8e01","67.189.232.181/32","2024-07-16T14:44:00.878Z","u-hcDegB8XKnmTEm5p1AREb","sagemaker instance for michael's data ingestion work","Sagemaker-Medium","prod-o5niatppdiag6-pa-npc2jrch7qrky","","0","ml.m5.4xlarge","false","","michael-sagemaker","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-taoflfqggqbei/25349ff0-4382-11ef-9dd2-1248e261ed59""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionScheme""},""OutputValue"":{""S"":""https""},""Description"":{""S"":""Protocol for connection 1""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionPolicy""},""OutputValue"":{""S"":""presigned-url-access""},""Description"":{""S"":""Inline policy name that has use for creating presigned URL""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionRole""},""OutputValue"":{""S"":""analysis-1721141169675-presigned-url-sagemaker-notebook-role""},""Description"":{""S"":""IAM Role name to use for creating presigned URL""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionName""},""OutputValue"":{""S"":""SageMaker Notebook""},""Description"":{""S"":""Name for this connection""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionNotebookArn""},""OutputValue"":{""S"":""arn:aws:sagemaker:us-east-1:985832498708:notebook-instance/basicnotebookinstance-piepxnmwwt9j""},""Description"":{""S"":""SageMaker Notebook Arn""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionType""},""OutputValue"":{""S"":""SageMaker""},""Description"":{""S"":""Type of environment this connection is for""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1721141169675-sagemaker-notebook-role""},""Description"":{""S"":""IAM role assumed by the SageMaker workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionInfo""},""OutputValue"":{""S"":""BasicNotebookInstance-PIepxnMwWt9j""},""Description"":{""S"":""The name of the SageMaker notebook instance.""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1721141169675-presigned-url-sagemaker-notebook-role""},""Description"":{""S"":""IAM Role to use for creating presigned URL""}}},{""M"":{""OutputKey"":{""S"":""NotebookInstanceName""},""OutputValue"":{""S"":""BasicNotebookInstance-PIepxnMwWt9j""},""Description"":{""S"":""The name of the SageMaker notebook instance.""}}}]","aim-ahead-swb-prod","pp-taoflfqggqbei","10","STOPPING_FAILED","[{""S"":""avl-73-bdc-etl""}]","{""avl-73-bdc-etl"":{""S"":""arn:aws:iam::736265540791:role/swb-sBBkWpaDyB8xcbAqjq7Cmw-fs-1714151777326""}}","","2024-08-27T13:56:18.563Z","u-hcDegB8XKnmTEm5p1AREb"
"1f9a966f-a749-4b60-a431-b2a280fb0c2e","136.145.95.66/32","2024-08-28T16:02:35.039Z","u-Dpz-sHLTftgkFi4L5ziVm","""This workspace has the Jupyter Notebook enviroment to use for data analysis and data wrangling.\n(Data Cleaning and Management, Correlation Matrix, Imputation of Values, ML Models, Feature Importances, Feature Rankings)""","Sagemaker-Small","prod-o5niatppdiag6-pa-npc2jrch7qrky","","research","ml.t3.medium","false","","MACE-Lupus-Jupyter-Notebook-Instance","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-outvz3tr63ege/3f68d610-6557-11ef-9f4e-1271e4a8544f""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""NotebookInstanceName""},""OutputValue"":{""S"":""BasicNotebookInstance-n3nl95w5yOB5""},""Description"":{""S"":""The name of the SageMaker notebook instance.""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionNotebookArn""},""OutputValue"":{""S"":""arn:aws:sagemaker:us-east-1:985832498708:notebook-instance/basicnotebookinstance-n3nl95w5yob5""},""Description"":{""S"":""SageMaker Notebook Arn""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionType""},""OutputValue"":{""S"":""SageMaker""},""Description"":{""S"":""Type of environment this connection is for""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1724861084951-sagemaker-notebook-role""},""Description"":{""S"":""IAM role assumed by the SageMaker workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionScheme""},""OutputValue"":{""S"":""https""},""Description"":{""S"":""Protocol for connection 1""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionName""},""OutputValue"":{""S"":""SageMaker Notebook""},""Description"":{""S"":""Name for this connection""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionInfo""},""OutputValue"":{""S"":""BasicNotebookInstance-n3nl95w5yOB5""},""Description"":{""S"":""The name of the SageMaker notebook instance.""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionPolicy""},""OutputValue"":{""S"":""presigned-url-access""},""Description"":{""S"":""Inline policy name that has use for creating presigned URL""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1724861084951-presigned-url-sagemaker-notebook-role""},""Description"":{""S"":""IAM Role to use for creating presigned URL""}}},{""M"":{""OutputKey"":{""S"":""MetaConnectionRole""},""OutputValue"":{""S"":""analysis-1724861084951-presigned-url-sagemaker-notebook-role""},""Description"":{""S"":""IAM Role name to use for creating presigned URL""}}}]","Research-Fellowship-C2","pp-outvz3tr63ege","2","STOPPING_FAILED","[{""S"":""rfc2-ariana-gonzalez-melendez""}]","{""rfc2-ariana-gonzalez-melendez"":{""S"":""arn:aws:iam::985832498708:role/swb-Ara2fqbEjt9GaJlwkjrASU-fs-1701290341422""}}","","2024-12-09T19:50:46.587Z","u-74cq57xq1gBAHm-UxlT8M"
"a63a25c7-2cb3-4f84-b1b3-646ce916bf78","136.145.95.66/32","2024-08-30T15:29:31.979Z","u-U4ij7UUAZi7sMnG4lRJfj","This will be used as the remote Windows workspace to access the data and create subtables in the database view.","windows-small","prod-wksgqqvm6wm5g-pa-bzz3ktzzlpmeg","","research","t3.medium","false","","RI-Hisp-Windows-Workspace","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-b7vh2xn2aavnk/f66e38d0-66e4-11ef-8796-0affe5a4b41f""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1725031902303-ec2-role""},""Description"":{""S"":""IAM role assumed by the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceInstanceId""},""OutputValue"":{""S"":""i-057177b220b6b8973""},""Description"":{""S"":""Instance Id for the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1InstanceId""},""OutputValue"":{""S"":""i-057177b220b6b8973""},""Description"":{""S"":""EC2 Windows Instance Id""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Scheme""},""OutputValue"":{""S"":""rdp""},""Description"":{""S"":""Protocol for connection""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspacePublicIp""},""OutputValue"":{""S"":""54.221.80.163""},""Description"":{""S"":""Public IP address of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Name""},""OutputValue"":{""S"":""RDP to EC2 Windows Instance""},""Description"":{""S"":""Name of the connection""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceDnsName""},""OutputValue"":{""S"":""ec2-54-221-80-163.compute-1.amazonaws.com""},""Description"":{""S"":""Public DNS name of the EC2 workspace instance""}}}]","Consortium-Development-Project","pp-b7vh2xn2aavnk","18","STOPPING_FAILED","[{""S"":""cdp-abiel-roche-lima""}]","{""cdp-abiel-roche-lima"":{""S"":""arn:aws:iam::985832498708:role/swb-Ara2fqbEjt9GaJlwkjrASU-fs-1713465281439""}}","","2024-12-09T19:50:48.168Z","u-74cq57xq1gBAHm-UxlT8M"
"73b732b2-a692-46d4-9634-b2351b895b95","143.55.4.106/32","2024-07-11T18:20:13.973Z","u-Q8sGYN79uSQSiZoaV0rRI","Exploration of OCHIN Dataset","windows-small","prod-wksgqqvm6wm5g-pa-bzz3ktzzlpmeg","","research","t3.medium","false","","TLB-OCHIN-Dataset","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-mc4qsvzlnnfwc/85f48d60-3fb2-11ef-b44e-1293091dc60d""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceInstanceId""},""OutputValue"":{""S"":""i-0dcb8ce49c1ffb69d""},""Description"":{""S"":""Instance Id for the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Name""},""OutputValue"":{""S"":""RDP to EC2 Windows Instance""},""Description"":{""S"":""Name of the connection""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1InstanceId""},""OutputValue"":{""S"":""i-0dcb8ce49c1ffb69d""},""Description"":{""S"":""EC2 Windows Instance Id""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1720722143090-ec2-role""},""Description"":{""S"":""IAM role assumed by the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspacePublicIp""},""OutputValue"":{""S"":""18.212.111.58""},""Description"":{""S"":""Public IP address of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Scheme""},""OutputValue"":{""S"":""rdp""},""Description"":{""S"":""Protocol for connection""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceDnsName""},""OutputValue"":{""S"":""ec2-18-212-111-58.compute-1.amazonaws.com""},""Description"":{""S"":""Public DNS name of the EC2 workspace instance""}}}]","Research-Fellowship-C2","pp-mc4qsvzlnnfwc","22","STOPPING_FAILED","[{""S"":""rfc2-todd-levon-brown""}]","{""rfc2-todd-levon-brown"":{""S"":""arn:aws:iam::985832498708:role/swb-Ara2fqbEjt9GaJlwkjrASU-fs-1702289339839""}}","","2024-12-09T19:50:50.188Z","u-74cq57xq1gBAHm-UxlT8M"
"27ac56d8-0902-4627-87f7-771bd94aa14e","67.189.232.181/32","2024-04-26T17:16:16.231Z","u-hcDegB8XKnmTEm5p1AREb","michael's workspace for bdc r work","rstudio-large","prod-7rixzx2sygszm-pa-35hi6h7mizws4","","0","g4ad.4xlarge","false","9617c535-0940-47cf-9742-fb735b37189c","michael-rstudio-bdc","[{""M"":{""OutputKey"":{""S"":""CloudformationStackARN""},""OutputValue"":{""S"":""arn:aws:cloudformation:us-east-1:985832498708:stack/SC-985832498708-pp-bono3xp3cdiis/ffe29b10-03f0-11ef-b8b8-0affedd61815""},""Description"":{""S"":""The ARN of the launched Cloudformation Stack""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Type""},""OutputValue"":{""S"":""RStudioV2""},""Description"":{""S"":""Type of environment this connection is for""}}},{""M"":{""OutputKey"":{""S"":""InstanceSecurityGroupId""},""OutputValue"":{""S"":""sg-0707b412640cbca24""},""Description"":{""S"":""EC2 Instance Security Group Id""}}},{""M"":{""OutputKey"":{""S"":""MaxCountALBDependentWorkspaces""},""OutputValue"":{""S"":""100""},""Description"":{""S"":""Maximum number of ALB dependent Workspaces""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Scheme""},""OutputValue"":{""S"":""https""},""Description"":{""S"":""Protocol for connection 1""}}},{""M"":{""OutputKey"":{""S"":""NeedsALB""},""OutputValue"":{""S"":""true""},""Description"":{""S"":""Flag to specify environment requires ALB""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceInstanceId""},""OutputValue"":{""S"":""i-0a3259cf6123b2eff""},""Description"":{""S"":""Instance Id for the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspaceDnsName""},""OutputValue"":{""NULL"":true},""Description"":{""S"":""Public DNS name of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""WorkspaceInstanceRoleArn""},""OutputValue"":{""S"":""arn:aws:iam::985832498708:role/analysis-1714151906931-ec2-role""},""Description"":{""S"":""IAM role assumed by the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""TargetGroupARN""},""OutputValue"":{""S"":""arn:aws:elasticloadbalancing:us-east-1:985832498708:targetgroup/analysis-1714151906931/8cca321f45dc6e63""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1Name""},""OutputValue"":{""S"":""RStudio Notebook""},""Description"":{""S"":""Name for this connection""}}},{""M"":{""OutputKey"":{""S"":""MetaConnection1InstanceId""},""OutputValue"":{""S"":""i-0a3259cf6123b2eff""},""Description"":{""S"":""EC2 Linux Instance Id""}}},{""M"":{""OutputKey"":{""S"":""Ec2WorkspacePrivateIp""},""OutputValue"":{""S"":""10.128.10.8""},""Description"":{""S"":""Private IP address of the EC2 workspace instance""}}},{""M"":{""OutputKey"":{""S"":""ListenerRuleARN""},""OutputValue"":{""S"":""arn:aws:elasticloadbalancing:us-east-1:985832498708:listener-rule/app/analysis-1697738075242/e4549b32669cf866/93bd1d12165ffa38/88c76eae06f8134f""},""Description"":{""S"":""ARN of the listener rule created by code""}}}]","aim-ahead-swb-prod","pp-bono3xp3cdiis","51","STOPPING_FAILED","[{""S"":""avl-73-bdc-etl""}]","{""avl-73-bdc-etl"":{""S"":""arn:aws:iam::736265540791:role/swb-sBBkWpaDyB8xcbAqjq7Cmw-fs-1714151777326""}}","","2024-08-27T14:00:31.911Z","u-hcDegB8XKnmTEm5p1AREb"
