workspace_name,instance_type,CPU,RAM,GPU
sagemaker-Small,ml.t3.medium,2,4,0
sagemaker-Medium,ml.m5.4xlarge,16,64,0
sagemaker-Large,ml.g5.4xlarge,16,24,1
sagemaker-Rapids,ml.g4dn.2xlarge,8,2,0
Windows-Small,t3.medium,2,4,0
Windows-Medium,m5.2xlarge,8,32,0
Windows-Large,g4ad.4xlarge,16,64,1
Linux-Small,t3.medium,2,4,0
Linux-Medium,m5.2xlarge,8,32,0
Linux-Medium-GPU,p2.xlarge,4,61,1
Linux-Large,g4ad.4xlarge,16,64,1
RStudio-Small,t3.medium,2,4,0
RStudio-Medium,m5.2xlarge,8,32,0
RStudio-Large,g4ad.4xlarge,16,64,1
RStudio-Small-nonstop,t3.medium,2,4,0
RStudio-Medium-nonstop,m5.2xlarge,8,32,0
RStudio-Large-nonstop,g4ad.4xlarge,16,64,1
